# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.50000000000000000000 1.15999996662139892578 0.53811800479888916016 -0.00225165765732526779 0.99985003471374511719 -2.21552586555480957031 0.05160224437713623047 0.53806531429290771484 -2.20503997802734375000 0.05065478757023811340 -0.00061939150327816606
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.55000001192092895508 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.55000001192092895508 1.15999996662139892578 0.53603416681289672852 -0.00222614197991788387 0.99983507394790649414 -2.20884847640991210938 0.04977062717080116272 0.53824305534362792969 -2.20780348777770996094 0.05063724517822265625 -0.00067536538699641824
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.60000002384185791016 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.60000002384185791016 1.15999996662139892578 0.53432095050811767578 -0.00219805003143846989 0.99982899427413940430 -2.20210003852844238281 0.04814663901925086975 0.53824418783187866211 -2.20892977714538574219 0.05061642825603485107 -0.00074166612466797233
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.64999997615814208984 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.64999997615814208984 1.15999996662139892578 0.53338027000427246094 -0.00217199628241360188 0.99979346990585327148 -2.19667768478393554688 0.04702662676572799683 0.53782629966735839844 -2.20948457717895507812 0.05063657090067863464 -0.00079646985977888107
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.69999998807907104492 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.69999998807907104492 1.15999996662139892578 0.53349262475967407227 -0.00214540283195674419 0.99973958730697631836 -2.19354557991027832031 0.04656763002276420593 0.53758025169372558594 -2.20991706848144531250 0.05061019212007522583 -0.00084806274389848113
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.75000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.75000000000000000000 1.15999996662139892578 0.53472524881362915039 -0.00211196020245552063 0.99976885318756103516 -2.19328594207763671875 0.04679352045059204102 0.53774410486221313477 -2.20854067802429199219 0.05061198770999908447 -0.00090134615311399102
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.80000001192092895508 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.80000001192092895508 1.15999996662139892578 0.53694158792495727539 -0.00207497808150947094 0.99979633092880249023 -2.19626474380493164062 0.04765632748603820801 0.53803622722625732422 -2.20752000808715820312 0.05061283335089683533 -0.00095347518799826503
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.85000002384185791016 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.85000002384185791016 1.15999996662139892578 0.53946828842163085938 -0.00203847698867321014 0.99981367588043212891 -2.20195579528808593750 0.04903104156255722046 0.53830665349960327148 -2.20765805244445800781 0.05061728507280349731 -0.00100414652843028307
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.89999997615814208984 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.89999997615814208984 1.15999996662139892578 0.54141581058502197266 -0.00199915631674230099 0.99982005357742309570 -2.20876526832580566406 0.05060022324323654175 0.53823184967041015625 -2.20812177658081054688 0.05063475295901298523 -0.00105651468038558960
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.94999998807907104492 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.94999998807907104492 1.15999996662139892578 0.54243236780166625977 -0.00195667147636413574 0.99982982873916625977 -2.21486186981201171875 0.05197836458683013916 0.53837883472442626953 -2.20849156379699707031 0.05061095580458641052 -0.00110899889841675758
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.00000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.00000000000000000000 1.15999996662139892578 0.54248678684234619141 -0.00191452342551201582 0.99984705448150634766 -2.21905922889709472656 0.05289657041430473328 0.53838258981704711914 -2.20842146873474121094 0.05062877386808395386 -0.00115706096403300762
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.04999995231628417969 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.04999995231628417969 1.15999996662139892578 0.54166924953460693359 -0.00187198678031563759 0.99986696243286132812 -2.22086334228515625000 0.05321744829416275024 0.53831815719604492188 -2.20956730842590332031 0.05062371119856834412 -0.00120932166464626789
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.10000002384185791016 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.10000002384185791016 1.15999996662139892578 0.54025310277938842773 -0.00181803677696734667 0.99985253810882568359 -2.22032141685485839844 0.05297098308801651001 0.53812557458877563477 -2.21042323112487792969 0.05062160640954971313 -0.00125584763009101152
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.14999997615814208984 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 1.14999997615814208984 1.15999996662139892578 0.53885954618453979492 -0.00176456233020871878 0.99984329938888549805 -2.21806550025939941406 0.05220597609877586365 0.53834307193756103516 -2.21038198471069335938 0.05061549320816993713 -0.00130135414656251669
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=1.20000004768371582031 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
