# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.50000000000000000000 1.15999996662139892578 0.58887654542922973633 -0.00185669388156384230 1.00045299530029296875 -2.41735863685607910156 0.14934842288494110107 0.58628445863723754883 -2.40659666061401367188 0.14791885018348693848 -0.00162777118384838104
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.55000001192092895508 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.55000001192092895508 1.15999996662139892578 0.58835679292678833008 -0.00122061395086348057 1.00044274330139160156 -2.41790723800659179688 0.14678360521793365479 0.58659839630126953125 -2.40814208984375000000 0.14793276786804199219 -0.00272742705419659615
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.60000002384185791016 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.60000002384185791016 1.15999996662139892578 0.58717769384384155273 -0.00010340451990487054 1.00044596195220947266 -2.41613531112670898438 0.14456656575202941895 0.58652687072753906250 -2.40900588035583496094 0.14791990816593170166 -0.00322392652742564678
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.64999997615814208984 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.64999997615814208984 1.15999996662139892578 0.58561682701110839844 0.00097840430680662394 1.00044703483581542969 -2.41233587265014648438 0.14311859011650085449 0.58622479438781738281 -2.40874695777893066406 0.14790137112140655518 -0.00298085249960422516
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.69999998807907104492 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.69999998807907104492 1.15999996662139892578 0.58400523662567138672 0.00156524381600320339 1.00044643878936767578 -2.40722608566284179688 0.14265908300876617432 0.58657741546630859375 -2.40794086456298828125 0.14786994457244873047 -0.00221658754162490368
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.75000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.75000000000000000000 1.15999996662139892578 0.58289319276809692383 0.00148831319529563189 1.00044405460357666016 -2.40189266204833984375 0.14320033788681030273 0.58642506599426269531 -2.40868616104125976562 0.14788997173309326172 -0.00139362807385623455
