# display=4 E_dc=7.80000019073486328125 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
7.80000019073486328125 0.10000000149011611938 0.50000000000000000000 1.15999996662139892578 0.55581855773925781250 -0.00185402831993997097 0.99982577562332153320 -2.28674888610839843750 0.07171215116977691650 0.55467176437377929688 -2.27293825149536132812 0.07020457088947296143 -0.00074988621054217219
# display=4 E_dc=7.80000019073486328125 E_omega=0.10000000149011611938 omega=0.55000001192092895508 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
7.80000019073486328125 0.10000000149011611938 0.55000001192092895508 1.15999996662139892578 0.55401366949081420898 -0.00182456825859844685 0.99983006715774536133 -2.28138375282287597656 0.06968011707067489624 0.55529719591140747070 -2.27589178085327148438 0.07018692791461944580 -0.00082462280988693237
# display=4 E_dc=7.80000019073486328125 E_omega=0.10000000149011611938 omega=0.60000002384185791016 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
7.80000019073486328125 0.10000000149011611938 0.60000002384185791016 1.15999996662139892578 0.55237895250320434570 -0.00179081445094197989 0.99982440471649169922 -2.27549695968627929688 0.06789381057024002075 0.55554103851318359375 -2.27831888198852539062 0.07018941640853881836 -0.00088498840341344476
# display=4 E_dc=7.80000019073486328125 E_omega=0.10000000149011611938 omega=0.64999997615814208984 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00004999999873689376 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
7.80000019073486328125 0.10000000149011611938 0.64999997615814208984 1.15999996662139892578 0.55132490396499633789 -0.00175855983980000019 0.99981528520584106445 -2.27024507522583007812 0.06667990237474441528 0.55561816692352294922 -2.27978897094726562500 0.07018098980188369751 -0.00097269652178511024
