# display=4 E_dc=6.50000000000000000000 E_omega=0.30000001192092895508 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.30000001192092895508 0.50000000000000000000 116.00000000000000000000 0.75966525077819824219 0.01644625142216682434 0.99862712621688842773 -3.05584740638732910156 0.25513097643852233887 0.74246352910995483398 -3.04530024528503417969 0.24376714229583740234 -0.00432006688788533211
# display=4 E_dc=6.50000000000000000000 E_omega=0.30000001192092895508 omega=0.55000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.30000001192092895508 0.55000001192092895508 116.00000000000000000000 0.77110654115676879883 0.01684283092617988586 0.99862968921661376953 -3.10818052291870117188 0.22296854853630065918 0.74225986003875732422 -3.04416275024414062500 0.24376031756401062012 -0.00472232932224869728
# display=4 E_dc=6.50000000000000000000 E_omega=0.30000001192092895508 omega=0.60000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.30000001192092895508 0.60000002384185791016 116.00000000000000000000 0.77635240554809570312 0.01726434566080570221 0.99865579605102539062 -3.14656090736389160156 0.19574508070945739746 0.74311065673828125000 -3.04206132888793945312 0.24366720020771026611 -0.00514020817354321480
# display=4 E_dc=6.50000000000000000000 E_omega=0.30000001192092895508 omega=0.64999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.30000001192092895508 0.64999997615814208984 116.00000000000000000000 0.77463310956954956055 0.01770717836916446686 0.99865084886550903320 -3.16540479660034179688 0.17996384203433990479 0.74125790596008300781 -3.04515385627746582031 0.24359506368637084961 -0.00553517881780862808
# display=4 E_dc=6.50000000000000000000 E_omega=0.30000001192092895508 omega=0.69999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.30000001192092895508 0.69999998807907104492 116.00000000000000000000 0.76508939266204833984 0.01820059493184089661 0.99863594770431518555 -3.16153025627136230469 0.17914526164531707764 0.74213165044784545898 -3.04291868209838867188 0.24358931183815002441 -0.00591323804110288620
# display=4 E_dc=6.50000000000000000000 E_omega=0.30000001192092895508 omega=0.75000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.30000001192092895508 0.75000000000000000000 116.00000000000000000000 0.74715644121170043945 0.01873449422419071198 0.99863559007644653320 -3.13198566436767578125 0.19248706102371215820 0.74200719594955444336 -3.04513835906982421875 0.24351976811885833740 -0.00629342580214142799
# display=4 E_dc=6.50000000000000000000 E_omega=0.30000001192092895508 omega=0.80000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.30000001192092895508 0.80000001192092895508 116.00000000000000000000 0.72369033098220825195 0.01933680474758148193 0.99865204095840454102 -3.07732439041137695312 0.21570642292499542236 0.74267601966857910156 -3.04411673545837402344 0.24334192276000976562 -0.00665629236027598381
# display=4 E_dc=6.50000000000000000000 E_omega=0.30000001192092895508 omega=0.85000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.30000001192092895508 0.85000002384185791016 116.00000000000000000000 0.70254772901535034180 0.01997943408787250519 0.99864035844802856445 -3.00741004943847656250 0.24336904287338256836 0.74229556322097778320 -3.04335355758666992188 0.24325534701347351074 -0.00699545908719301224
# display=4 E_dc=6.50000000000000000000 E_omega=0.30000001192092895508 omega=0.89999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.30000001192092895508 0.89999997615814208984 116.00000000000000000000 0.69308286905288696289 0.02067193947732448578 0.99863040447235107422 -2.94212388992309570312 0.26975286006927490234 0.74251061677932739258 -3.04331111907958984375 0.24315792322158813477 -0.00732567487284541130
